CustomerID,Frequency,Monetary,LastPurchase,Recency,R_score,F_score,M_score,RFM_Score,Segment
12346.0,1,77183.6,2011-01-18 10:01:00,326,1,1,4,114,Low Value
12347.0,7,4309.999999999999,2011-12-07 15:52:00,2,4,3,4,434,High Value
12348.0,4,1797.24,2011-09-25 13:13:00,75,2,2,4,224,Loyal
12349.0,1,1757.5499999999995,2011-11-21 09:51:00,19,3,1,4,314,Low Value
12350.0,1,334.4,2011-02-02 16:01:00,310,1,1,2,112,Low Value
12352.0,8,2506.0400000000013,2011-11-03 14:37:00,36,3,3,4,334,High Value
12353.0,1,89.0,2011-05-19 17:47:00,204,1,1,1,111,Low Value
12354.0,1,1079.4000000000003,2011-04-21 13:11:00,232,1,1,3,113,Low Value
12355.0,1,459.4,2011-05-09 13:49:00,214,1,1,2,112,Low Value
12356.0,3,2811.4300000000003,2011-11-17 08:40:00,23,3,2,4,324,Loyal
12357.0,1,6207.669999999998,2011-11-06 16:07:00,33,3,1,4,314,Low Value
12358.0,2,1168.06,2011-12-08 10:26:00,2,4,1,3,413,Low Value
12359.0,4,6372.580000000008,2011-10-13 12:47:00,58,2,2,4,224,Loyal
12360.0,3,2662.059999999998,2011-10-18 15:22:00,52,2,2,4,224,Loyal
12361.0,1,189.90000000000003,2011-02-25 13:51:00,287,1,1,1,111,Low Value
12362.0,10,5226.230000000002,2011-12-06 15:40:00,3,4,3,4,434,High Value
12363.0,2,552.0,2011-08-22 10:18:00,110,2,1,2,212,Low Value
12364.0,4,1313.1,2011-12-02 10:22:00,8,4,2,3,423,Loyal
12365.0,2,641.3799999999999,2011-02-21 14:04:00,291,1,1,2,112,Low Value
12367.0,1,168.89999999999998,2011-12-05 16:48:00,4,4,1,1,411,Low Value
12370.0,4,3545.6899999999973,2011-10-19 14:51:00,51,3,2,4,324,Loyal
12371.0,2,1887.9600000000003,2011-10-26 10:16:00,45,3,1,4,314,Low Value
12372.0,3,1298.0400000000002,2011-09-29 12:12:00,72,2,2,3,223,Loyal
12373.0,1,364.6,2011-02-01 13:10:00,311,1,1,2,112,Low Value
12374.0,1,742.93,2011-11-14 15:37:00,25,3,1,3,313,Low Value
12375.0,2,457.5000000000001,2011-11-29 10:36:00,11,4,1,2,412,Low Value
12377.0,2,1628.12,2011-01-28 15:45:00,315,1,1,3,113,Low Value
12378.0,1,4008.62,2011-08-02 10:34:00,130,2,1,4,214,Low Value
12379.0,2,852.2399999999997,2011-09-19 10:09:00,82,2,1,3,213,Low Value
12380.0,4,2724.809999999999,2011-11-18 11:27:00,22,3,2,4,324,Loyal
12381.0,5,1845.3100000000009,2011-12-05 12:44:00,5,4,2,4,424,Loyal
12383.0,5,1850.5599999999997,2011-06-08 08:02:00,185,1,2,4,124,Loyal
12384.0,2,585.27,2011-11-11 08:39:00,29,3,1,2,312,Low Value
12386.0,2,401.9,2011-01-06 12:37:00,338,1,1,2,112,Low Value
12388.0,6,2780.660000000001,2011-11-24 12:30:00,16,4,3,4,434,High Value
12390.0,1,549.8399999999999,2011-09-21 09:33:00,80,2,1,2,212,Low Value
12391.0,1,460.8899999999999,2011-11-18 12:07:00,22,3,1,2,312,Low Value
12393.0,4,1582.6000000000001,2011-09-28 15:41:00,72,2,2,3,223,Loyal
12394.0,2,1272.48,2011-10-07 08:08:00,64,2,1,3,213,Low Value
12395.0,12,3018.6299999999983,2011-11-20 15:21:00,19,3,3,4,334,High Value
12397.0,2,2409.8999999999996,2011-11-04 09:52:00,36,3,1,4,314,Low Value
12398.0,1,1635.6600000000005,2011-10-25 10:27:00,46,3,1,3,313,Low Value
12399.0,4,1108.6499999999999,2011-08-12 13:15:00,119,2,2,3,223,Loyal
12401.0,1,84.3,2011-02-09 13:50:00,303,1,1,1,111,Low Value
12402.0,1,225.60000000000002,2011-01-20 13:49:00,323,1,1,1,111,Low Value
12403.0,1,427.7,2011-10-21 10:51:00,50,3,1,2,312,Low Value
12405.0,1,1710.3899999999999,2011-07-14 08:52:00,149,1,1,4,114,Low Value
12406.0,2,3415.300000000002,2011-11-17 19:22:00,22,3,1,4,314,Low Value
12407.0,5,1708.12,2011-10-21 10:11:00,50,3,2,4,324,Loyal
12408.0,5,2888.5500000000015,2011-11-07 12:27:00,33,3,2,4,324,Loyal
12409.0,3,11072.670000000002,2011-09-22 10:38:00,79,2,2,4,224,Loyal
12410.0,2,693.33,2011-02-04 10:39:00,309,1,1,3,113,Low Value
12412.0,3,1226.8799999999999,2011-09-26 10:16:00,75,2,2,3,223,Loyal
12413.0,3,758.1,2011-10-04 09:00:00,67,2,2,3,223,Loyal
12414.0,3,562.41,2011-05-06 14:51:00,217,1,2,2,122,Loyal
12415.0,21,124914.52999999981,2011-11-15 14:22:00,24,3,3,4,334,High Value
12417.0,9,3649.1000000000013,2011-12-06 14:52:00,3,4,3,4,434,High Value
12418.0,1,668.58,2011-08-19 11:08:00,113,2,1,2,212,Low Value
12420.0,1,600.3900000000001,2011-10-07 08:55:00,64,2,1,2,212,Low Value
12421.0,4,807.04,2011-11-24 09:07:00,16,4,2,3,423,Loyal
12422.0,3,803.5599999999998,2011-09-05 09:48:00,96,2,2,3,223,Loyal
12423.0,8,1859.3100000000004,2011-12-09 10:10:00,1,4,3,4,434,High Value
12424.0,2,1760.9599999999996,2011-06-30 12:06:00,163,1,1,4,114,Low Value
12425.0,1,777.2,2011-09-22 17:31:00,78,2,1,3,213,Low Value
12426.0,1,582.7299999999999,2011-05-29 12:26:00,195,1,1,2,112,Low Value
12427.0,3,825.8000000000002,2011-11-18 08:56:00,22,3,2,3,323,Loyal
12428.0,9,7956.460000000006,2011-11-14 08:22:00,26,3,3,4,334,High Value
12429.0,4,3750.4000000000005,2011-11-30 17:22:00,9,4,2,4,424,Loyal
12430.0,1,256.40000000000003,2011-10-27 15:09:00,43,3,1,1,311,Low Value
12431.0,15,6487.449999999999,2011-11-04 11:55:00,36,3,3,4,334,High Value
12432.0,5,5059.3200000000015,2011-10-28 11:43:00,43,3,2,4,324,Loyal
12433.0,7,13375.869999999994,2011-12-09 10:02:00,1,4,3,4,434,High Value
12434.0,2,806.1399999999998,2011-09-16 12:38:00,85,2,1,3,213,Low Value
12435.0,2,7829.889999999999,2011-09-21 09:06:00,80,2,1,4,214,Low Value
12436.0,1,509.01,2011-09-01 12:09:00,100,2,1,2,212,Low Value
12437.0,18,4951.409999999998,2011-12-08 11:35:00,2,4,3,4,434,High Value
12438.0,2,2906.8500000000004,2011-11-25 13:28:00,14,4,1,4,414,Low Value
12441.0,1,173.55,2010-12-08 10:45:00,367,1,1,1,111,Low Value
12442.0,1,172.06,2011-12-06 14:22:00,3,4,1,1,411,Low Value
12444.0,5,5005.460000000001,2011-11-18 13:23:00,21,3,2,4,324,Loyal
12445.0,1,133.4,2011-11-17 18:43:00,22,3,1,1,311,Low Value
12446.0,1,1002.31,2011-10-13 12:50:00,58,2,1,3,213,Low Value
12447.0,1,476.48999999999995,2011-04-10 13:25:00,243,1,1,2,112,Low Value
12448.0,1,449.45000000000005,2011-10-26 13:46:00,44,3,1,2,312,Low Value
12449.0,4,4067.290000000002,2011-11-17 13:46:00,22,3,2,4,324,Loyal
12450.0,2,197.88,2011-07-06 14:41:00,156,1,1,1,111,Low Value
12451.0,5,9035.519999999999,2011-11-29 08:40:00,11,4,2,4,424,Loyal
12452.0,2,430.5700000000001,2011-11-23 10:28:00,17,4,1,2,412,Low Value
12453.0,1,707.0899999999999,2011-07-28 14:08:00,134,2,1,3,213,Low Value
12454.0,1,3528.34,2011-10-14 17:13:00,56,2,1,4,214,Low Value
12455.0,6,2466.8599999999974,2011-09-27 15:31:00,73,2,3,4,234,High Value
12456.0,3,3181.039999999998,2011-10-26 14:41:00,44,3,2,4,324,Loyal
12457.0,7,2363.2299999999996,2011-10-04 13:13:00,66,2,3,4,234,High Value
12458.0,2,947.4000000000001,2011-09-29 15:25:00,71,2,1,3,213,Low Value
12461.0,2,826.8799999999999,2011-09-06 16:57:00,94,2,1,3,213,Low Value
12462.0,2,1189.5900000000006,2011-11-21 09:11:00,19,3,1,3,313,Low Value
12463.0,4,1344.78,2011-10-17 13:44:00,53,2,2,3,223,Loyal
12464.0,8,1212.0499999999997,2011-11-29 13:33:00,10,4,3,3,433,High Value
12465.0,2,742.1900000000005,2011-11-22 16:34:00,17,4,1,3,413,Low Value
12468.0,2,729.5400000000001,2011-06-05 11:36:00,188,1,1,3,113,Low Value
12471.0,30,19824.049999999945,2011-12-07 15:43:00,2,4,3,4,434,High Value
12472.0,7,6572.110000000001,2011-11-07 14:01:00,32,3,3,4,334,High Value
12473.0,5,3938.55,2011-11-10 13:46:00,29,3,2,4,324,Loyal
12474.0,18,7375.79,2011-11-22 14:39:00,17,4,3,4,434,High Value
12475.0,1,723.38,2011-10-17 10:10:00,54,2,1,3,213,Low Value
12476.0,11,6816.420000000006,2011-11-24 12:40:00,16,4,3,4,434,High Value
12477.0,6,13219.739999999994,2011-11-17 09:51:00,23,3,3,4,334,High Value
12478.0,1,680.9900000000002,2011-12-06 09:56:00,4,4,1,3,413,Low Value
12479.0,1,527.1999999999999,2011-11-28 13:26:00,11,4,1,2,412,Low Value
12480.0,4,3281.630000000001,2011-11-11 14:52:00,28,3,2,4,324,Loyal
12481.0,10,5596.3200000000015,2011-11-17 08:29:00,23,3,3,4,334,High Value
12483.0,8,2484.980000000001,2011-11-22 17:02:00,17,4,3,4,434,High Value
12484.0,6,4541.72,2011-11-07 11:37:00,33,3,3,4,334,High Value
12488.0,3,1298.66,2011-11-30 08:50:00,10,4,2,3,423,Loyal
12489.0,1,334.93000000000006,2011-01-07 13:13:00,336,1,1,2,112,Low Value
12490.0,10,5417.929999999999,2011-12-04 16:07:00,5,4,3,4,434,High Value
12491.0,1,460.40000000000003,2011-11-01 12:18:00,39,3,1,2,312,Low Value
12492.0,2,263.21,2011-10-07 15:15:00,63,2,1,1,211,Low Value
12493.0,2,433.74,2011-06-27 10:17:00,166,1,1,2,112,Low Value
12494.0,7,1246.1000000000006,2011-11-24 09:34:00,16,4,3,3,433,High Value
12497.0,1,1043.1,2011-09-19 12:29:00,82,2,1,3,213,Low Value
12498.0,3,403.7,2011-11-18 12:53:00,21,3,2,2,322,Loyal
12500.0,11,4257.820000000001,2011-11-16 16:20:00,23,3,3,4,334,High Value
12501.0,1,2169.389999999999,2011-01-07 12:28:00,337,1,1,4,114,Low Value
12502.0,5,3723.8700000000003,2011-09-05 11:52:00,96,2,2,4,224,Loyal
12504.0,2,482.04999999999995,2011-11-21 16:02:00,18,4,1,2,412,Low Value
12506.0,1,73.50000000000001,2011-04-21 08:54:00,233,1,1,1,111,Low Value
12507.0,3,1304.81,2011-07-28 17:09:00,134,2,2,3,223,Loyal
12508.0,2,398.27,2011-11-13 15:37:00,26,3,1,2,312,Low Value
12509.0,1,176.5,2011-02-28 14:45:00,284,1,1,1,111,Low Value
12510.0,2,982.5699999999999,2011-07-20 10:15:00,143,1,1,3,113,Low Value
12512.0,2,138.03000000000003,2011-10-04 14:55:00,66,2,1,1,211,Low Value
12513.0,1,612.2899999999998,2011-08-19 10:51:00,113,2,1,2,212,Low Value
12514.0,1,1017.6800000000001,2011-03-17 16:38:00,267,1,1,3,113,Low Value
12515.0,1,383.7,2010-12-21 15:43:00,353,1,1,2,112,Low Value
12516.0,2,1312.06,2011-09-23 09:13:00,78,2,1,3,213,Low Value
12517.0,5,2502.8399999999997,2011-11-11 14:04:00,28,3,2,4,324,Loyal
12518.0,5,2056.8899999999994,2011-12-09 10:13:00,1,4,2,4,424,Loyal
12519.0,1,340.84000000000003,2011-10-07 09:26:00,64,2,1,2,212,Low Value
12520.0,5,2634.2599999999998,2011-09-21 15:23:00,79,2,2,4,224,Loyal
12521.0,1,599.6800000000001,2011-07-20 10:51:00,143,1,1,2,112,Low Value
12522.0,2,192.72,2011-10-31 15:30:00,39,3,1,1,311,Low Value
12523.0,11,1789.7700000000007,2011-11-20 12:55:00,19,3,3,4,334,High Value
12524.0,8,4485.719999999999,2011-11-30 15:31:00,9,4,3,4,434,High Value
12526.0,3,1316.6600000000005,2011-12-09 12:09:00,1,4,2,3,423,Loyal
12527.0,3,348.71000000000004,2011-09-19 11:55:00,82,2,2,2,222,Loyal
12528.0,6,1933.4800000000007,2011-11-30 14:40:00,9,4,3,4,434,High Value
12530.0,4,1662.2799999999993,2011-10-11 12:34:00,60,2,2,4,224,Loyal
12531.0,1,125.21999999999998,2011-11-25 11:12:00,15,4,1,1,411,Low Value
12532.0,1,349.83,2011-11-09 13:47:00,30,3,1,2,312,Low Value
12534.0,1,1089.1800000000003,2011-08-01 10:26:00,131,2,1,3,213,Low Value
12535.0,2,716.35,2011-09-09 08:48:00,92,2,1,3,213,Low Value
12536.0,3,12601.830000000002,2011-10-27 14:20:00,43,3,2,4,324,Loyal
12538.0,1,363.95,2011-11-10 17:16:00,29,3,1,2,312,Low Value
12539.0,4,5568.349999999997,2011-11-17 13:30:00,22,3,2,4,324,Loyal
12540.0,17,13400.239999999993,2011-11-20 11:31:00,20,3,3,4,334,High Value
12541.0,3,981.1800000000002,2011-11-10 10:40:00,30,3,2,3,323,Loyal
12544.0,1,372.69999999999993,2011-11-03 16:15:00,36,3,1,2,312,Low Value
12545.0,2,1000.3899999999998,2011-09-25 13:39:00,75,2,1,3,213,Low Value
12546.0,2,1161.5000000000005,2011-10-24 12:09:00,47,3,1,3,313,Low Value
12547.0,2,207.8,2011-05-26 12:38:00,198,1,1,1,111,Low Value
12548.0,1,95.19999999999999,2011-06-26 15:35:00,166,1,1,1,111,Low Value
12550.0,1,964.8299999999997,2011-09-21 14:35:00,79,2,1,3,213,Low Value
12551.0,1,168.0,2010-12-17 11:23:00,358,1,1,1,111,Low Value
12552.0,2,437.82000000000005,2011-11-01 10:02:00,39,3,1,2,312,Low Value
12553.0,10,3692.2800000000007,2011-12-01 16:38:00,8,4,3,4,434,High Value
12556.0,2,603.7099999999998,2011-10-20 13:06:00,50,3,1,2,312,Low Value
12557.0,5,11990.960000000003,2011-11-23 16:59:00,16,4,2,4,424,Loyal
12558.0,1,269.96000000000004,2011-12-02 10:41:00,8,4,1,1,411,Low Value
12559.0,2,561.71,2011-02-02 09:49:00,311,1,1,2,112,Low Value
12560.0,3,2134.0099999999998,2011-12-04 13:54:00,5,4,2,4,424,Loyal
12561.0,1,238.85,2011-02-10 11:39:00,303,1,1,1,111,Low Value
12562.0,7,3781.7400000000025,2011-12-01 17:20:00,8,4,3,4,434,High Value
12564.0,1,456.9,2011-03-23 14:55:00,261,1,1,2,112,Low Value
12565.0,1,145.92000000000002,2011-02-24 10:34:00,289,1,1,1,111,Low Value
12566.0,1,351.65000000000003,2011-09-14 14:30:00,86,2,1,2,212,Low Value
12567.0,10,9401.280000000002,2011-11-17 11:02:00,23,3,3,4,334,High Value
